Act Name,Act Code
Foreigners Law (Application and Amendment) Act,405
Foreign Exchange Management Act,399
Foreign Jurisdiction Act,400
Foreign Marriage Act,401
Foreign Recruiting Act,402
Foreign Trade (Development and Regulation) Act,403
Forest (Conservation) Act,406
Forfeited Deposits Act,407
Former Secretary of State Service Officers (Conditions of  Service) Act,408
Fort William Act,409
Forward Contracts (Regulation) Act,410
Futwah-Islampur Light Railway Line (Nationalisation) Act,411
Gambling Regulations,1106
Ganesh Flour Mills Company Limited (Acquisition  and Transfer  of Undertakings) Act,412
Ganges Tolls,413
General Clauses Act,414
General Insurance Business (Nationalisation) Act,415
General Insurance Business (Nationalisation) Amendment Act,416
Geneva Conventions Act,417
Geographical Indications of Goods (Registration and Protection) Act,418
Gift-tax Act,419
Glanders and Farcy Act,420
"Goa, Daman and Diu (Absorbed Employees) Act",422
"Goa, Daman and Diu (Administration) Act",423
"Goa, Daman and Diu (Extension of the Code of Civil  Procedure  and the Arbitration Act) Act",424
"Goa, Daman and Diu Mining Concessions (Abolition and  Declaration as Mining Leases) Act",425
"Goa, Daman and Diu Reorganisation Act",426
Gold Bonds (Immunities and Exemptions) Act,427
Governent Securities Act,436
Government Buildings Act,428
Government Grants Act,429
Government Management of Private Estates Act,430
"Government of National Capital Territory of Delhi Act, 1991",431
Government of Union Territories Act,432
Government Savings Banks Act,433
Government Savings Certificates Act,434
Government Seal Act,435
"Governors (Emoluments, Allowances and Privileges)  Act",437
Gram Nyayalayas Act,421
Gresham and Craven of India (Private) Limited (Acquisition  and Transfer of Undertakings) Act,438
Guardians and Wards Act,439
Hackney-carriage Act,440
Haj Committee Act,441
Handlooms (Reservation of Articles for Production) Act,442
Haryana and Punjab Agricultural Universities Act,443
Haryana and Uttar Pradesh (Alteration of Boundaries) Act,444
"High Court and Bombay (Extension of Jurisdiction to Goa, Daman and Diu) Act",445
High Court at Patna (Establishment of a Permanent Bench at  Ranchi) Act,446
High Court Judges (Salaries and Conditions of Service) Act,447
High Courts (Seals) Act,448
High Denomination Bank Notes (Demonetisation) Act,449
Himachal Pradesh and Bilaspur (New State) Act,450
Himachal Pradesh Legislative Assembly (Constitution and  Proceedings) Validation Act,451
Hind Cycles Limited and Sen-Raleigh Limited (Nationalisation) Act,452
Hindi Sahitya Sammelan Act,453
Hindu Adoptions and Maintenance Act,454
Hindu Disposition of Property Act,455
Hindu Gains of Learning Act,456
Hindu Inheritance (Removal of Disabilities) Act,457
Hindu Marriage Act,458
Hindu Marriages (Validation of Proceedings) Act,459
Hindu Minority and Guardianship Act,460
Hindustan Tractors Limited (Acquisition and Transfer of  Undertakings) Act,462
Hindu Succession Act,461
Homoeopathy Central Council Act,463
Hooghly Docking and Engineering Company Limited (Acquisition  and Transfer of Undertakings) Act,464
Hotel-Receipts Tax Act,465
Howrah Offences Act,466
